epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72423,0.81782,3.31787,1.27649,0.00333,1,0.995,0.49709,1.98812,3.05889,3.48935,0,0,0
2,13.1791,0.93954,4.66487,1.24933,0.00333,1,0.995,0.49709,1.99857,3.05142,3.49037,1.9604e-05,1.9604e-05,1.9604e-05
3,18.5924,1.06656,3.92743,1.54815,0.00333,1,0.995,0.44759,2.01504,3.04847,3.51048,3.8416e-05,3.8416e-05,3.8416e-05
4,23.9614,0.84137,3.47806,1.32985,0.00333,1,0.995,0.49709,2.01023,3.05819,3.46694,5.6436e-05,5.6436e-05,5.6436e-05
5,29.3077,1.02496,2.78853,1.56182,0.00333,1,0.995,0.49709,2.01844,3.04258,3.43167,7.3664e-05,7.3664e-05,7.3664e-05
6,34.5418,0.71936,2.82597,1.29468,0.00333,1,0.995,0.49709,2.02584,3.00885,3.33411,9.01e-05,9.01e-05,9.01e-05
7,39.7808,1.21182,2.80649,1.73607,0.00333,1,0.995,0.44759,1.98815,3.04968,3.15991,0.000105744,0.000105744,0.000105744
8,45.1595,0.92416,4.17099,1.48393,0.00333,1,0.995,0.44759,1.94439,3.06878,3.02485,0.000120596,0.000120596,0.000120596
9,50.5207,0.79149,2.74362,1.37991,0.00333,1,0.995,0.44759,1.90806,3.0792,2.94833,0.000134656,0.000134656,0.000134656
10,55.8998,1.13635,2.958,1.74403,0.00333,1,0.995,0.44759,1.72884,3.23467,2.75853,0.000147924,0.000147924,0.000147924
11,61.2611,0.61804,2.00566,1.22242,0.00333,1,0.995,0.44759,1.40506,3.00129,2.57341,0.0001604,0.0001604,0.0001604
12,66.4859,0.52542,2.19191,1.42278,0.00333,1,0.995,0.59617,1.49992,2.92962,2.54857,0.000172084,0.000172084,0.000172084
13,71.7739,1.16464,3.37883,1.25644,0.00333,1,0.995,0.49745,1.59266,2.947,2.51258,0.000182976,0.000182976,0.000182976
14,76.9359,0.89663,1.65811,1.19816,0.00333,1,0.995,0.41454,1.55486,2.95357,2.50833,0.000193076,0.000193076,0.000193076
15,82.0367,0.57826,2.66498,1.19803,0.00333,1,0.995,0.36633,1.50519,2.99245,2.50708,0.000202384,0.000202384,0.000202384
16,87.3546,0.77343,3.19048,1.34173,0.00333,1,0.995,0.37204,1.2878,3.19792,2.38688,0.0002109,0.0002109,0.0002109
17,92.6204,0.48241,1.37953,1.13155,0.00333,1,0.995,0.3926,1.65231,3.0135,2.72054,0.000218624,0.000218624,0.000218624
18,97.7121,0.61865,2.14894,1.23016,0.00333,1,0.995,0.3926,1.65231,3.0135,2.72054,0.000225556,0.000225556,0.000225556
